Component Report
I:/BD_Boards/DLI_4100_2510300-Rev-D/Board/2510300_REV-D.brd
Tue Apr 12 06:54:06 2016
Total Components:  689
REFDES,COMP_DEVICE_TYPE,COMP_VALUE,COMP_TOL,COMP_PACKAGE,SYM_X,SYM_Y,SYM_ROTATE,SYM_MIRROR
U13,DAD2000_0_TQFP80_DAD2000_0,DAD2000_0,,TQFP80,2330.00,1460.00,0.000,NO
U14,DAD2000_0_TQFP80_DAD2000_0,DAD2000_0,,TQFP80,4920.00,1460.00,0.000,NO
U15,TPS2400_SOT23-5_TPS2400,TPS2400,,SOT23-5,7240.00,950.00,90.000,NO
U16,TPS61081_SM_TI_DRC10_TPS61081,TPS61081,,SM_TI_DRC10,6460.00,400.00,270.000,NO
U17,TPS54310PWP_20PWP_TPS54310PWP,TPS54310PWP,,20PWP,7183.00,334.00,0.000,NO
U18,CY7C68013_128_SM_TPQF128_CYPRES,CY7C68013A_128,,SM_TPQF128_CYPRESS,6565.00,3070.00,0.000,YES
U19,EPROM 24LC256_SM_TSSOP8_174_EPR,EPROM 24LC128,,SM_TSSOP8_174,7170.00,2630.00,90.000,YES
U20,SN74CB3Q32245_SM_TI_ZKE96_SN74C,SN74CB3q32245,,SM_TI_ZKE96,5330.00,2210.00,0.000,YES
U21,SN74CB3T3253_TSSOP16_SN74CB3T32,SN74CB3T3253,,TSSOP16,4716.00,2120.00,90.000,YES
U22,SN74AUP1G00DBVR_SOT23-5_SN74AUP,SN74AUP1G00DBVR,,SOT23-5,6407.00,1986.00,90.000,YES
U23,TPS3707-DGNG_8MSOP_TPS3707-DGNG,TPS3707-DGNG,,8MSOP,6663.00,1918.00,0.000,YES
Y5,CRYSTAL_SM_XTAL_275X200_24.000M,24.000MHz,,SM_XTAL_275X200,7200.00,3215.00,90.000,YES
