Allegro Report
I:/BD_Boards/DLI_4100_2510300-Rev-D/Board/2510300_REV-D.brd
Tue Apr 12 06:54:07 2016

Net Name,Net Pins
ECP2_M_TP13,J8.28 U11.AC11
ECP2_M_TP14,J8.30 U11.Y12
ECP2_M_TP15,J8.32 U11.Y11
ECP2_M_TP16,J8.34 U11.AB11
ECP2_M_TP17,J8.36 U11.H8
ECP2_M_TP18,J8.38 U11.H9
ECP2_M_TP19,J8.37 U11.F12
ECP2_M_TP2,J8.6 U11.AD8
ECP2_M_TP20,J8.35 U11.G11
ECP2_M_TP21,J8.33 U11.G12
ECP2_M_TP22,J8.31 U11.E11
ECP2_M_TP23,J8.29 U11.E10
ECP2_M_TP24,J8.27 U11.E8
ECP2_M_TP25,J8.25 U11.F10
ECP2_M_TP26,J8.23 U11.F9
ECP2_M_TP27,J8.21 U11.F8
ECP2_M_TP28,J8.19 U11.G10
ECP2_M_TP29,J8.17 U11.G9
ECP2_M_TP3,J8.8 U11.AC8
ECP2_M_TP30,J8.15 U11.H11
ECP2_M_TP31,J8.13 U11.H12
ECP2_M_TP4,J8.10 U11.AC7
ECP2_M_TP5,J8.12 U11.AC9
ECP2_M_TP6,J8.14 U11.AB9
ECP2_M_TP7,J8.16 U11.AA8
ECP2_M_TP8,J8.18 U11.AA9
ECP2_M_TP9,J8.20 U11.Y8
EXP1_DIFF_0_N,J16.120 U5.AP32
EXP1_DIFF_0_P,J16.118 U5.AN32
EXP1_DIFF_10_N,J16.90 U5.AL33
EXP1_DIFF_10_P,J16.88 U5.AL34
EXP1_DIFF_11_N,J16.89 U5.W32
EXP1_DIFF_11_P,J16.87 U5.Y32
EXP1_DIFF_12_N,J16.84 U5.AE32
EXP1_DIFF_12_P,J16.82 U5.AD32
EXP1_DIFF_13_N,J16.83 U5.Y34
EXP1_DIFF_13_P,J16.81 U5.AA34
EXP1_DIFF_14_N,J16.80 U5.V32
EXP1_DIFF_14_P,J16.78 U5.V33
EXP1_DIFF_15_N,J16.79 U5.V34
EXP1_DIFF_15_P,J16.77 U5.W34
EXP1_DIFF_16_N,J16.68 U5.T34
EXP1_DIFF_16_P,J16.66 U5.U33
EXP1_DIFF_17_N,J16.73 U5.AK32
EXP1_DIFF_17_P,J16.71 U5.AJ32
EXP1_DIFF_18_N,J16.62 U5.AE34
EXP1_DIFF_18_P,J16.60 U5.AF34
EXP1_DIFF_19_N,J16.67 U5.AH32
EXP1_DIFF_19_P,J16.65 U5.AG32
EXP1_DIFF_1_N,J16.119 U5.AN33
EXP1_DIFF_1_P,J16.117 U5.AN34
EXP1_DIFF_20_N,J16.56 U5.AB32
EXP1_DIFF_20_P,J16.54 U5.AC32
EXP1_DIFF_21_N,J16.55 U5.N32
EXP1_DIFF_21_P,J16.53 U5.P32
EXP1_DIFF_2_N,J16.114 U5.AH33
EXP1_DIFF_2_P,J16.112 U5.AG33
EXP1_DIFF_3_N,J16.113 U5.AM32
EXP1_DIFF_3_P,J16.111 U5.AM33
EXP1_DIFF_4_N,J16.108 U5.AJ34
EXP1_DIFF_4_P,J16.106 U5.AH34
EXP1_DIFF_5_N,J16.107 U5.AD34
EXP1_DIFF_5_P,J16.105 U5.AC34
EXP1_DIFF_6_N,J16.102 U5.AE33
EXP1_DIFF_6_P,J16.100 U5.AF33
EXP1_DIFF_7_N,J16.101 U5.AB33
EXP1_DIFF_7_P,J16.99 U5.AC33
EXP1_DIFF_8_N,J16.96 U5.AK33
EXP1_DIFF_8_P,J16.94 U5.AK34
EXP1_DIFF_9_N,J16.95 U5.Y33
EXP1_DIFF_9_P,J16.93 U5.AA33
EXP1_DIFF_CLK_IN_DPN,J16.44 U5.H20
EXP1_DIFF_CLK_IN_DPP,J16.42 U5.H19
EXP1_DIFF_CLK_OUT_N,J16.74 U5.U32
EXP1_DIFF_CLK_OUT_P,J16.72 U5.U31
EXP1_SE_CLK_IN,J16.43 U5.J20
EXP1_SE_CLK_OUT,J16.49 U5.J21
EXP1_SE_IO_0,J16.2 U5.C34
EXP1_SE_IO_1,J16.1 U5.A33
EXP1_SE_IO_10,J16.16 U5.F33
EXP1_SE_IO_11,J16.15 U5.C33
EXP1_SE_IO_12_DIFF_22_P,J16.20 U5.G33
EXP1_SE_IO_13_DIFF_23_P,J16.19 U5.K33
EXP1_SE_IO_14_DIFF_22_N,J16.22 U5.F34
EXP1_SE_IO_15_DIFF_23_N,J16.21 U5.K32
EXP1_SE_IO_16_DIFF_24_P,J16.26 U5.H34
EXP1_SE_IO_17_DIFF_25_P,J16.25 U5.P34
EXP1_SE_IO_18_DIFF_24_N,J16.28 U5.J34
EXP1_SE_IO_19_DIFF_25_N,J16.27 U5.N34
EXP1_SE_IO_2,J16.4 U5.D32
EXP1_SE_IO_20_DIFF_26_P,J16.32 U5.L34
EXP1_SE_IO_21_DIFF_27_P,J16.31 U5.N33
EXP1_SE_IO_22_DIFF_26_N,J16.34 U5.K34
EXP1_SE_IO_23_DIFF_27_N,J16.33 U5.M33
EXP1_SE_IO_24_DIFF_28_P,J16.38 U5.J32
EXP1_SE_IO_25_DIFF_29_P,J16.37 U5.L33
EXP1_SE_IO_26_DIFF_28_N,J16.40 U5.H33
EXP1_SE_IO_27_DIFF_29_N,J16.39 U5.M32
EXP1_SE_IO_28,J16.41 U5.E32
EXP1_SE_IO_29,J16.47 U5.E33
EXP1_SE_IO_3,J16.3 U5.B32
EXP1_SE_IO_30_DIFF_30_P,J16.48 U5.R33
EXP1_SE_IO_31_DIFF_30_N,J16.50 U5.R32
EXP1_SE_IO_32_DIFF_31_P,J16.59 U5.T33
EXP1_SE_IO_33_DIFF_31_N,J16.61 U5.R34
EXP1_SE_IO_4,J16.8 U5.D34
EXP1_SE_IO_5,J16.7 U5.B33
EXP1_SE_IO_6,J16.10 U5.E34
EXP1_SE_IO_7,J16.9 U5.C32
EXP1_SE_IO_8,J16.14 U5.G32
EXP1_SE_IO_9,J16.13 U5.H32
EXP2_DIFF_0_N,J17.120 U5.AL3
EXP2_DIFF_0_P,J17.118 U5.AM2
EXP2_DIFF_10_N,J17.90 U5.AD2
EXP2_DIFF_10_P,J17.88 U5.AE2
EXP2_DIFF_11_N,J17.89 U5.AE3
EXP2_DIFF_11_P,J17.87 U5.AF3
EXP2_DIFF_12_N,J17.84 U5.AG2
EXP2_DIFF_12_P,J17.82 U5.AG1
EXP2_DIFF_13_N,J17.83 U5.AE1
EXP2_DIFF_13_P,J17.81 U5.AF1
EXP2_DIFF_14_N,J17.80 U5.AA3
EXP2_DIFF_14_P,J17.78 U5.AB3
EXP2_DIFF_15_N,J17.79 U5.Y1
EXP2_DIFF_15_P,J17.77 U5.W2
EXP2_DIFF_16_N,J17.68 U5.V2
EXP2_DIFF_16_P,J17.66 U5.W1
EXP2_DIFF_17_N,J17.73 U5.U2
EXP2_DIFF_17_P,J17.71 U5.U1
EXP2_DIFF_18_N,J17.62 U5.V3
EXP2_DIFF_18_P,J17.60 U5.V4
EXP2_DIFF_19_N,J17.67 U5.T3
EXP2_DIFF_19_P,J17.65 U5.U3
EXP2_DIFF_1_N,J17.119 U5.AM1
EXP2_DIFF_1_P,J17.117 U5.AL1
EXP2_DIFF_20_N,J17.56 U5.L1
EXP2_DIFF_20_P,J17.54 U5.M1
EXP2_DIFF_21_N,J17.55 U5.N3
EXP2_DIFF_21_P,J17.53 U5.M3
EXP2_DIFF_2_N,J17.114 U5.AP2
EXP2_DIFF_2_P,J17.112 U5.AN2
EXP2_DIFF_3_N,J17.113 U5.AN3
EXP2_DIFF_3_P,J17.111 U5.AM3
EXP2_DIFF_4_N,J17.108 U5.AD1
EXP2_DIFF_4_P,J17.106 U5.AC2
EXP2_DIFF_5_N,J17.107 U5.AK1
EXP2_DIFF_5_P,J17.105 U5.AJ1
EXP2_DIFF_6_N,J17.102 U5.AH3
EXP2_DIFF_6_P,J17.100 U5.AG3
EXP2_DIFF_7_N,J17.101 U5.AK3
EXP2_DIFF_7_P,J17.99 U5.AK2
EXP2_DIFF_8_N,J17.96 U5.AA1
EXP2_DIFF_8_P,J17.94 U5.AB1
EXP2_DIFF_9_N,J17.95 U5.AJ2
EXP2_DIFF_9_P,J17.93 U5.AH2
EXP2_DIFF_CLK_IN_DPN,J17.44 U5.J17
EXP2_DIFF_CLK_IN_DPP,J17.42 U5.H18
EXP2_DIFF_CLK_OUT_N,J17.74 U5.AB2
EXP2_DIFF_CLK_OUT_P,J17.72 U5.AC3
EXP2_SE_CLK_IN,J17.43 U5.J16
EXP2_SE_CLK_OUT,J17.49 U5.J15
EXP2_SE_IO_0,J17.2 U5.B3
EXP2_SE_IO_1,J17.1 U5.D1
EXP2_SE_IO_10,J17.16 U5.C3
EXP2_SE_IO_11,J17.15 U5.K2
EXP2_SE_IO_12_DIFF_22_P,J17.20 U5.E2
EXP2_SE_IO_13_DIFF_23_P,J17.19 U5.H2
EXP2_SE_IO_14_DIFF_22_N,J17.22 U5.E1
EXP2_SE_IO_15_DIFF_23_N,J17.21 U5.H3
EXP2_SE_IO_16_DIFF_24_P,J17.26 U5.E3
EXP2_SE_IO_17_DIFF_25_P,J17.25 U5.P2
EXP2_SE_IO_18_DIFF_24_N,J17.28 U5.F3
EXP2_SE_IO_19_DIFF_25_N,J17.27 U5.R3
EXP2_SE_IO_2,J17.4 U5.B1
EXP2_SE_IO_20_DIFF_26_P,J17.32 U5.F1
EXP2_SE_IO_21_DIFF_27_P,J17.31 U5.T1
EXP2_SE_IO_22_DIFF_26_N,J17.34 U5.G1
EXP2_SE_IO_23_DIFF_27_N,J17.33 U5.R1
EXP2_SE_IO_24_DIFF_28_P,J17.38 U5.G3
EXP2_SE_IO_25_DIFF_29_P,J17.37 U5.K3
EXP2_SE_IO_26_DIFF_28_N,J17.40 U5.G2
EXP2_SE_IO_27_DIFF_29_N,J17.39 U5.L3
EXP2_SE_IO_28,J17.41 U5.Y2
EXP2_SE_IO_29,J17.47 U5.Y3
EXP2_SE_IO_3,J17.3 U5.D2
EXP2_SE_IO_30_DIFF_30_P,J17.48 U5.N2
EXP2_SE_IO_31_DIFF_30_N,J17.50 U5.M2
EXP2_SE_IO_32_DIFF_31_P,J17.59 U5.P1
EXP2_SE_IO_33_DIFF_31_N,J17.61 U5.R2
EXP2_SE_IO_4,J17.8 U5.B2
EXP2_SE_IO_5,J17.7 U5.J2
EXP2_SE_IO_6,J17.10 U5.A3
EXP2_SE_IO_7,J17.9 U5.J1
EXP2_SE_IO_8,J17.14 U5.C2
EXP2_SE_IO_9,J17.13 U5.K1
FINISHED,D16.1 U5.T25
FLASH_CS#,R6.2 U3.11 U5.U25
FLASH_RDY,R16.2 U3.1 U6.3
FLASH_RST#,R9.2 U3.2
FLASH_SCK,U2.2 U3.12
FLASH_SER,R36.2 U3.16
FLASH_SI,U2.3 U3.13
FLASH_SO,R5.2 U3.14 U6.2
FLASH_WP#,R7.2 U3.3
FX2_SCL,R12.1 R144.1 U18.36 U19.6
FX2_SDA,R18.1 R149.1 U18.37 U19.5
GND,C1.2 C2.2 C3.2 C4.2 C5.2 C6.2 C7.2 C8.2 C9.2 C10.2 C11.2 C12.2 C13.2 C14.2 C15.2 C16.2 C18.2 C19.2 C20.2 C21.2 C23.2 C24.2 C25.2 C27.2 C28.2 C31.2 C32.2 C36.2 C37.2 C38.2 C39.2 C40.2 C41.2 C42.2 C43.2 C44.2 C45.2 C47.2 C48.2 C49.2 C50.2 C53.2 C54.2 C55.2 C56.2 C57.2 C58.2 C59.2 C60.2 C61.2 C62.2 C63.2 C66.2 C67.2 C68.2 C69.2 C70.2 C71.2 C72.2 C74.2 C75.2 C76.2 C77.2 C78.2 C79.2 C80.2 C82.2 C83.2 C84.2 C85.2 C86.2 C87.2 C88.2 C89.2 C92.2 C93.2 C94.2 C95.2 C98.2 C99.2 C100.2 C101.2 C102.2 C103.2 C104.2 C105.2 C106.2 C107.2 C108.2 C109.2 C110.2 C111.2 C112.2 C113.2 C114.2 C115.2 C116.1 C119.1 C120.2 C121.2 C122.2 C123.2 C124.2 C125.2 C126.2 C127.2 C128.2 C129.2 C130.2 C131.2 C132.2 C133.2 C134.2 C135.2 C137.2 C139.2 C140.2 C142.2 C143.2 C144.2 C145.2 C146.2 C147.2 C148.2 C150.2 C151.2 C152.2 C153.2 C154.1 C155.2 C156.2 C157.2 C158.2 C159.2 C160.2 C161.2 C162.2 C163.2 C164.2 C165.2 C166.2 C167.2 C168.2 C169.2 C170.2 C171.2 C172.2 C173.2 C174.2 C175.2 C176.2 C178.2 C179.2 C180.2 C181.2 C182.2 C183.2 C184.2 C185.2 C186.2 C187.2 C188.2 C189.2 C190.2 C191.2 C192.2 C193.2 C194.2 C195.2 C196.2 C197.2 C198.2 C199.2 C200.2 C201.2 C202.2 C203.2 C204.2 C205.2 C206.2 C207.2 C208.2 C209.2 C210.2 C211.2 C212.2 C213.2 C214.2 C215.2 C216.2 C217.2 C218.2 C219.2 C220.2 C221.2 C222.2 C223.2 C224.2 C225.2 C226.2 C227.2 C228.2 C229.2 C230.2 C231.2 C232.2 C233.2 C234.2 C235.2 C236.2 C237.2 C238.2 C239.2 C240.2 C241.2 C242.2 C243.2 C244.2 C245.2 C246.2 C247.2 C248.2 C249.2 C250.2 C251.2 C252.2 C253.2 C254.2 C255.2 C256.2 C257.2 C258.2 C259.2 C260.2 C261.2 C262.2 C263.2 C265.2 C266.2 C267.2 C268.2 C269.2 C270.2 C271.2 C272.2 C273.2 C274.2 C275.2 C276.2 C277.2 C278.2 C279.2 C280.2 C281.2 C282.2 C283.2 C284.2 C285.2 C287.2 D8.1 D13.2 D14.4 H1.1 H1.3 H1.5 H1.7 H1.9 H1.11 H1.13 J1.5 J3.10 J5.1 J6.10 J8.3 J8.G1 J8.G2 J8.G3 J8.G4 J8.G5 J9.3 J9.G1 J9.G2 J9.G3 J9.G4 J9.G5 J12.2 J12.3 J12.4 J12.5 J13.10C J13.10F J13.11A J13.11D J13.12C J13.12F J13.13D J13.14C J13.14F J13.15A J13.15D J13.16C J13.16F J13.17A J13.17D J13.18C J13.18F J13.19A J13.19D J13.1A J13.1D J13.20C J13.20F J13.21A J13.21D J13.22C J13.22F J13.23A J13.23D J13.24C J13.24F J13.25A J13.25D J13.2C J13.2F J13.3A J13.3D J13.4C J13.4F J13.5A J13.5D J13.6C J13.6F J13.7A J13.7D J13.8C J13.8F J13.9A J13.9D J14.10C J14.10F J14.11A J14.11D J14.12C J14.12F J14.13D J14.14C J14.14F J14.15A J14.15D J14.16C J14.16F J14.17A J14.17D J14.18C J14.18F J14.19A J14.19D J14.1A J14.1D J14.20C J14.20F J14.21A J14.21D J14.22C J14.22F J14.23A J14.23D J14.24C J14.24F J14.25A J14.25D J14.2C J14.2F J14.3A J14.3D J14.4C J14.4F J14.5A J14.5D J14.6C J14.6F J14.7A J14.7D J14.8C J14.8F J14.9A J14.9D J15.2 J15.3 J15.8 J15.9 J15.12 J15.15 J15.18 J15.21 J15.24 J15.27 J15.28 J15.33 J15.34 J15.39 J15.40 J15.41 J15.42 J15.47 J15.48 J15.53 J15.54 J15.59 J15.60 J15.65 J15.66 J15.71 J15.72 J15.77 J15.78 J15.121 J15.122 J15.127 J15.128 J15.132 J15.133 J15.138 J15.139 J15.144 J15.145 J15.149 J15.150 J15.155 J15.156 J15.161 J15.162 J15.165 J15.168 J15.171 J15.172 J15.177 J15.178 J15.183 J15.184 J15.187 J15.190 J15.193 J15.196 J16.45 J16.46 J16.51 J16.52 J16.57 J16.58 J16.63 J16.64 J16.69 J16.70 J16.75 J16.76 J16.121 J16.122 J16.123 J16.124 J16.125 J16.126 J16.127 J16.128 J16.129 J16.130 J16.131 J16.132 J17.45 J17.46 J17.51 J17.52 J17.57 J17.58 J17.63 J17.64 J17.69 J17.70 J17.75 J17.76 J17.121 J17.122 J17.123 J17.124 J17.125 J17.126 J17.127 J17.128 J17.129 J17.130 J17.131 J17.132 J18.1 J18.2 L5.2 L7.2 MT1.1 MT2.1 MT3.1 MT4.1 Q5.2 R19.2 R20.2 R22.2 R23.2 R24.2 R25.2 R26.2 R28.2 R32.2 R33.1 R35.2 R46.1 R47.2 R48.1 R50.2 R52.2 R55.1 R57.2 R60.2 R62.1 R63.2 R67.2 R69.2 R70.2 R73.1 R77.1 R79.2 R81.2 R82.1 R84.1 R100.1 R101.1 R103.2 R107.2 R109.1 R111.1 R116.2 R121.2 R123.2 R127.2 R130.1 R132.2 R133.1 R135.1 R139.2 R142.2 R143.1 R146.2 R150.2 R151.2 R154.2 R155.2 R157.2 R159.1 R161.2 R167.2 R169.1 R204.2 R213.2 R217.2 R219.2 R227.1 R235.2 R248.2 R249.2 R259.2 R260.1 R261.2 SW2.1 SW2.2 SW3.1 SW3.2 TP1.1 TP5.1 TP22.1 TP24.1 U1.4 U1.8 U1.11 U2.4 U2.5 U3.7 U3.21 U4.1 U4.11 U4.12 U4.13 U4.21 U5.A1 U5.A2 U5.A7 U5.A12 U5.A17 U5.A22 U5.A27 U5.A32 U5.AA2 U5.AA7 U5.AA15 U5.AA17 U5.AA19 U5.AA21 U5.AA23 U5.AA27 U5.AB4 U5.AB12 U5.AB14 U5.AB16 U5.AB18 U5.AB20 U5.AB22 U5.AB24 U5.AB34 U5.AC1 U5.AC11 U5.AC17 U5.AC21 U5.AC26 U5.AC31 U5.AD8 U5.AD12 U5.AD18 U5.AD28 U5.AE5 U5.AE10 U5.AE15 U5.AE20 U5.AE25 U5.AF2 U5.AF12 U5.AF22 U5.AF32 U5.AG9 U5.AG19 U5.AG29 U5.AG34 U5.AH1 U5.AH6 U5.AH16 U5.AH26 U5.AJ3 U5.AJ13 U5.AJ23 U5.AJ33 U5.AK10 U5.AK20 U5.AK30 U5.AL2 U5.AL7 U5.AL17 U5.AL27 U5.AM4 U5.AM14 U5.AM24 U5.AM34 U5.AN1 U5.AN11 U5.AN21 U5.AN26 U5.AN31 U5.AP3 U5.AP8 U5.AP13 U5.AP18 U5.AP23 U5.AP28 U5.AP33 U5.B4 U5.B14 U5.B24 U5.B34 U5.C1 U5.C11 U5.C21 U5.C31 U5.D3 U5.D8 U5.D18 U5.D28 U5.D33 U5.E5 U5.E15 U5.E25 U5.F2 U5.F12 U5.F22 U5.F32 U5.G9 U5.G19 U5.G29 U5.G34 U5.H1 U5.H6 U5.H11 U5.H16 U5.H26 U5.J3 U5.J13 U5.J18 U5.J23 U5.J28 U5.J33 U5.K10 U5.K15 U5.K20 U5.K25 U5.K30 U5.L2 U5.L7 U5.L17 U5.L22 U5.L27 U5.M4 U5.M9 U5.M12 U5.M14 U5.M16 U5.M18 U5.M20 U5.M24 U5.M34 U5.N1 U5.N11 U5.N15 U5.N17 U5.N19 U5.N21 U5.N26 U5.N31 U5.P8 U5.P12 U5.P14 U5.P16 U5.P18 U5.P20 U5.P28 U5.R5 U5.R10 U5.R13 U5.R15 U5.R17 U5.R19 U5.R21 U5.R23 U5.R25 U5.T2 U5.T12 U5.T14 U5.T16 U5.T17 U5.T18 U5.T20 U5.T22 U5.T27 U5.T32 U5.U9 U5.U13 U5.U15 U5.U17 U5.U18 U5.U19 U5.U21 U5.U23 U5.U29 U5.U34 U5.V1 U5.V6 U5.V12 U5.V14 U5.V16 U5.V17 U5.V18 U5.V20 U5.V22 U5.V26 U5.W3 U5.W13 U5.W15 U5.W19 U5.W21 U5.W23 U5.W33 U5.Y10 U5.Y12 U5.Y14 U5.Y16 U5.Y18 U5.Y20 U5.Y22 U5.Y25 U5.Y30 U6.4 U7.1 U7.15 U7.16 U7.17 U7.18 U7.19 U7.29 U8.A1 U8.A2 U8.B6 U8.F1 U8.F5 U8.F6 U8.H1 U8.H4 U9.2 U10.A1 U10.A2 U10.B6 U10.F1 U10.F5 U10.F6 U10.H1 U10.H4 U11.A1 U11.A6 U11.A11 U11.A16 U11.A21 U11.A26 U11.AA1 U11.AA11 U11.AA21 U11.AA26 U11.AB8 U11.AB18 U11.AC5 U11.AC15 U11.AC25 U11.AD2 U11.AD12 U11.AD22 U11.AE4 U11.AE9 U11.AE14 U11.AE19 U11.AF1 U11.AF6 U11.AF11 U11.AF16 U11.AF21 U11.AF26 U11.B3 U11.B8 U11.B13 U11.B18 U11.C5 U11.C15 U11.C25 U11.D2 U11.D12 U11.D22 U11.E9 U11.E19 U11.F1 U11.F6 U11.F16 U11.F26 U11.G3 U11.G13 U11.G18 U11.G23 U11.H10 U11.H20 U11.J7 U11.J9 U11.J13 U11.J15 U11.J17 U11.K4 U11.K8 U11.K12 U11.K14 U11.K16 U11.K19 U11.K24 U11.L1 U11.L9 U11.L11 U11.L13 U11.L15 U11.L17 U11.L21 U11.L26 U11.M3 U11.M8 U11.M10 U11.M12 U11.M13 U11.M14 U11.M16 U11.M18 U11.N5 U11.N9 U11.N11 U11.N13 U11.N14 U11.N15 U11.N17 U11.N25 U11.P2 U11.P7 U11.P8 U11.P10 U11.P12 U11.P13 U11.P14 U11.P16 U11.P22 U11.R9 U11.R11 U11.R15 U11.R17 U11.R18 U11.R19 U11.T1 U11.T6 U11.T8 U11.T10 U11.T12 U11.T14 U11.T16 U11.T18 U11.T26 U11.U3 U11.U9 U11.U13 U11.U15 U11.U17 U11.U18 U11.U23 U11.V8 U11.V10 U11.V14 U11.V16 U11.V20 U11.W7 U11.W9 U11.W13 U11.W15 U11.W17 U11.Y4 U11.Y14 U11.Y16 U11.Y19 U11.Y24 U12.1 U12.15 U12.16 U12.17 U12.18 U12.19 U12.29 U13.1 U13.7 U13.14 U13.20 U13.41 U13.46 U13.53 U13.55 U13.60 U14.1 U14.7 U14.14 U14.20 U14.41 U14.46 U14.53 U14.55 U14.60 U15.2 U16.4 U16.7 U16.8 U16.11 U17.1 U17.11 U17.12 U17.13 U17.21 U18.3 U18.13 U18.20 U18.27 U18.33 U18.49 U18.58 U18.65 U18.80 U18.93 U18.116 U18.125 U19.3 U19.4 U20.B3 U20.B4 U20.D3 U20.D4 U20.E3 U20.E4 U20.G3 U20.G4 U20.K3 U20.K4 U20.M3 U20.M4 U20.N3 U20.N4 U20.R3 U20.R4 U21.1 U21.8 U21.15 U22.3 U23.5 U23.9
GND_EARTH,C154.2 D13.1 J1.6 J1.7 J1.8 J1.9 R121.1
GPIFADR0,U18.72 U20.J5
GPIFADR0/TST_HDR_BY2_0,J9.8 U5.K31 U20.J2
GPIFADR1,U18.73 U20.J6
GPIFADR1/TST_HDR_BY2_1,J9.10 U5.L31 U20.J1
GPIFADR2,U18.74 U20.K5
GPIFADR2/TST_HDR_BY2_2,J9.12 U5.P31 U20.K2
GPIFADR3,U18.75 U20.K6
GPIFADR3/TST_HDR_BY2_3,J9.14 U5.P30 U20.K1
GPIFADR4,U18.76 U20.L5
GPIFADR4/TST_HDR_BY2_4,J9.16 U5.N30 U20.L2
GPIFADR5,U18.77 U20.L6
GPIFADR5/TST_HDR_BY2_5,J9.18 U5.M31 U20.L1
GPIFADR6,U18.78 U20.M5
GPIFADR6/TST_HDR_BY2_6,J9.20 U5.R28 U20.M2
GPIFADR7,U18.79 U20.M6
GPIFADR7/TST_HDR_BY2_7,J9.22 U5.R29 U20.M1
GPIFADR8,U18.115 U20.N5
GPIFADR8/TST_HDR_BY3_0,J9.24 U5.T31 U20.N2
GPIO_A0,J6.9 U5.AG20
GPIO_A1,J6.8 U5.AF20
GPIO_A2,J6.7 U5.AF19
GPIO_A3,J6.6 U5.AH19
GPIO_A4,J6.5 U5.AG17
GPIO_A5,J6.4 U5.AG16
GPIO_A6,J6.3 U5.AH12
GPIO_A7,J6.2 U5.AG12
HSWAPEN,R76.2 U11.L18
INIT_ACTIVE,U5.AF21 U11.AA18
INTB_DDC,R58.2 U8.A3 U11.J11
LED0,D11.2 U5.AK19
LED1,D12.2 U5.AJ19
MBRST1_0,J13.14D RN4.9 TP28.1
MBRST1_1,J13.13C RN4.10
MBRST1_10,J13.14A RN3.11
MBRST1_11,J13.12E RN3.12
MBRST1_12,J13.16B RN3.13
MBRST1_13,J13.16A RN3.14
MBRST1_14,J13.12B RN3.15
MBRST1_15,J13.12A RN3.16
MBRST1_2,J13.15E RN4.11
MBRST1_3,J13.14E RN4.12
MBRST1_4,J13.13F RN4.13
MBRST1_5,J13.13E RN4.14
MBRST1_6,J13.14B RN4.15
MBRST1_7,J13.15C RN4.16
MBRST1_8,J13.15F RN3.9 TP11.1
MBRST1_9,J13.15B RN3.10
MBRST2_0,J14.14D RN2.9 TP16.1
MBRST2_1,J14.13C RN2.10
MBRST2_10,J14.14A RN1.11
MBRST2_11,J14.12E RN1.12
MBRST2_12,J14.16B RN1.13
MBRST2_13,J14.16A RN1.14
MBRST2_14,J14.12B RN1.15
MBRST2_15,J14.12A RN1.16
MBRST2_2,J14.15E RN2.11
MBRST2_3,J14.14E RN2.12
MBRST2_4,J14.13F RN2.13
MBRST2_5,J14.13E RN2.14
MBRST2_6,J14.14B RN2.15
MBRST2_7,J14.15C RN2.16
MBRST2_8,J14.15F RN1.9 TP20.1
MBRST2_9,J14.15B RN1.10
N12482172,R138.2 U18.32
N12487904,R10.2 U18.101
N12531568,R14.2 U18.99
N12533200,C21.1 R13.2 R14.1
N12538869,R127.1 R129.2 U18.85
N12560917,R26.1 U18.28
N12564506,R28.1 U18.29
N12565709,R32.1 U18.30
N12566914,R35.1 U18.31
N12568869,R20.1 U18.7
N12570070,R22.1 U18.8
N12571273,R25.1 U18.9
N12598472,R139.1 U18.35
N12676352,C163.1 D14.1 FB8.1 J1.1
N12739603,C175.1 U18.12 Y5.2
N12742169,C168.1 U18.11 Y5.1
N12857231,J7.2 R143.2 U19.2
N14646526,D1.2 R29.1
N17689429,R132.1 U5.H8
N17881342,RN1.8 U14.62
N17881344,R211.1 R219.1 U14.44
N17881394,C109.1 C124.1 D7.2 R90.2 U14.9
N17881419,C113.1 C122.1 L4.2 U14.10
N17881437,D7.1 L4.1 U14.8
N17881507,C247.1 C257.1 C265.1 R233.1 R249.1 U14.23 U14.28 U14.33 U14.38 U14.49 U14.63 U14.68 U14.73 U14.78
N17881569,R74.2 TP13.1 U14.43
N17881571,RN2.1 U14.39
N17881603,RN2.2 U14.37
N17881627,R213.1 R222.1 U14.45
N17881647,J10.2 R59.2 U14.6
N17881654,RN2.3 U14.34
N17881962,RN1.1 U14.79
N17881976,RN2.4 U14.32
N17881998,C116.2 C125.1 D4.1 R89.1 U14.13
N17882046,D4.2 L7.1 U14.12
N17882150,RN1.2 U14.77
N17882156,RN2.5 U14.29
N17882179,C237.1 C241.1 C246.1 C256.1 FB9.2 U14.11 U14.48 U14.50
N17882240,C87.1 C89.1 U14.47
N17882311,RN1.3 U14.74
N17882322,RN2.6 U14.27
N17882382,RN1.4 U14.72
N17882388,RN2.7 U14.24
N17882433,RN1.5 U14.69
N17882443,RN2.8 U14.22
N17882524,RN1.6 U14.67
N17882575,RN1.7 U14.64
N18950967,Q5.1 R33.2 R140.2
N19386929,L8.1 U16.1
N19387896,L8.2 U16.10
N19409179,R113.1 U16.5
N19410163,C149.2 R113.2 R115.2 R116.1
N19412140,C145.1 C149.1 R110.1 R115.1 U16.9
N19423987,C144.1 U16.3
N19433144,C1.1 C7.1 FB1.2 U1.3 U1.5
N19433283,C14.1 U1.6
N19433301,C11.1 FB1.1 R4.1
N19458944,C37.1 U4.17
N19472425,C26.2 L1.1 U4.6 U4.7 U4.8 U4.9 U4.10
N19481582,C40.1 L1.2 R41.1 U4.2
N19496784,C26.1 U4.5
N19536249,C62.1 U7.25
N19564427,C65.1 U7.5
N19565621,C65.2 L2.1 U7.6 U7.7 U7.8 U7.9 U7.10 U7.11 U7.12 U7.13 U7.14
N19610507,C85.1 L2.2 R61.1 U7.2
N19623241,C96.2 L3.1 U12.6 U12.7 U12.8 U12.9 U12.10 U12.11 U12.12 U12.13 U12.14
